Date,Ticker,Open,High,Low,Close,Volume,sentiment,return,ma_5,ma_10,volatility_5,sentiment_lag1,sentiment_ma3,target,pred,strategy_return,buy_hold_return
2026-05-15,GOOGL,396.0834349796574,399.30151410906007,392.9452946767326,396.5431518554688,20309700,0.0,-0.010696401675079903,395.05604248046876,394.2615081787109,0.02549199171773594,0.0,0.0,1,0,0.0,0.00040326534105239453
2026-05-18,GOOGL,395.4538101055549,408.36608091552193,394.29449886421145,396.70306396484375,26837200,0.0,0.00040326534105239453,396.7150512695313,395.62969360351565,0.019987768457731953,0.0,0.0,0,0,0.0,-0.023378884460741545
2026-05-19,GOOGL,396.723025004717,396.91291402359946,385.8794958446922,387.4285888671875,39545700,0.0,-0.023378884460741545,396.7770141601562,395.5527404785156,0.023607838244248856,0.0,0.0,1,1,0.00322451056536055,0.00322451056536055
2026-05-20,GOOGL,387.4685872554011,393.6248834036927,382.6714341601505,388.6778564453125,31744400,0.0,0.00322451056536055,394.0366516113281,394.6402862548828,0.010619620230938898,0.0,0.0,0,0,0.0,-0.0032141465159613025
2026-05-21,GOOGL,385.4697674348519,392.2656959548347,382.7913440893277,387.4285888671875,24852800,0.0,-0.0032141465159613025,391.35625,393.6079040527344,0.010668348625750545,0.0,0.0,0,0,0.0,-0.012098216184623145
2026-05-22,GOOGL,387.1187843592316,388.5079387636157,381.5420981620284,382.7413940429688,20442100,0.0,-0.012098216184623145,388.5958984375,391.8259704589844,0.010815966199758078,0.0,0.0,1,0,0.0,0.015431995898472772
2026-05-26,GOOGL,384.2804712769477,389.0276356997364,382.3716078175452,388.6478576660156,27747400,0.0,0.015431995898472772,386.9848571777344,391.84995422363284,0.014760890980375238,0.0,0.0,0,0,0.0,-0.00012861975688982508
2026-05-27,GOOGL,386.4391861502527,393.64487351491664,385.66962629134815,388.5978698730469,23087300,0.0,-0.00012861975688982508,387.2187133789063,391.99786376953125,0.010039797838942177,0.0,0.0,1,0,0.0,0.0033434443979794004
2026-05-28,GOOGL,387.7683918215113,391.6360768291116,384.9300907577927,389.8971252441406,24357500,0.0,0.0033434443979794004,387.4625671386719,390.749609375,0.01004758070077917,0.0,0.0,0,0,0.0,-0.02509425962392897
2026-05-29,GOOGL,385.0100143138995,385.0100143138995,378.2340629764561,380.1129455566406,44415800,0.0,-0.02509425962392897,385.9994384765625,388.67784423828124,0.01546481567903824,0.0,0.0,0,1,-0.010438005061361721,-0.010438005061361721
2026-06-01,GOOGL,376.2952290661171,378.3340198477676,373.2970198869562,376.1453247070313,28672100,0.0,-0.010438005061361721,384.68022460937505,386.6380615234375,0.015256079376999049,0.0,0.0,0,0,0.0,-0.0385790306785998
2026-06-02,GOOGL,366.371163421305,373.31702687507857,358.2260345973877,361.6340026855469,50412300,0.0,-0.0385790306785998,379.27745361328124,383.1311553955078,0.01755668444730493,0.0,0.0,0,1,-0.007903866515702074,-0.007903866515702074
2026-06-03,GOOGL,361.81388965190393,366.2312646097652,357.8662353535933,358.77569580078125,55441600,0.0,-0.007903866515702074,373.3130187988281,380.2658660888672,0.01630043959432974,0.0,0.0,1,0,0.0,0.03676987830078726
